AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
1;3;1;1;2;3;4;4;1;4;3;1;1;4;2;1;1;3;4;4;1;4;2;3;127;69;81;76;673;8;0;0;25-34;2;Nie;B;C
4;5;5;5;5;4;5;5;5;4;4;4;5;4;4;4;5;4;4;2;5;5;4;4;85;51;67;31;554;22;1;0;45-54;1;Tak;A;A
5;4;5;5;5;5;5;5;5;4;2;3;3;3;3;3;4;3;3;2;5;5;3;3;75;66;59;46;523;11;1;1;35-44;2;Nie;C;A
5;4;4;5;3;4;5;5;4;4;2;3;3;3;3;4;4;3;4;3;4;4;3;4;58;40;42;19;318;10;1;1;35-44;2;Nie;C;B
4;4;2;5;5;5;4;5;5;4;1;2;2;2;2;5;5;1;4;4;4;5;2;4;90;55;69;44;507;10;0;0;35-44;2;Nie;C;C
2;4;2;2;4;4;4;5;2;2;2;1;2;3;1;2;2;2;2;1;2;4;2;2;163;127;155;122;1104;20;1;0;45-54;2;Nie;B;C
4;4;4;4;3;2;2;4;3;2;4;3;4;3;4;3;4;3;3;3;4;2;4;3;98;66;84;67;682;18;0;0;55-64;2;Nie;C;C
4;4;4;4;4;4;4;5;3;3;2;2;2;2;1;2;5;2;4;4;4;4;2;4;68;48;57;30;409;12;1;1;35-44;2;Nie;C;D
4;5;5;4;5;5;4;4;4;4;3;5;4;4;5;5;4;4;1;1;5;4;4;4;84;33;56;34;411;8;1;0;25-34;2;Nie;A;B
5;4;4;4;4;4;5;5;4;4;5;4;4;4;5;4;4;5;4;4;4;4;4;4;88;40;57;39;418;11;1;0;45-54;2;Nie;A;A
4;4;4;5;4;5;5;5;4;4;4;5;5;4;4;4;4;5;4;4;4;5;4;4;77;62;55;43;468;6;0;1;35-44;2;Tak;A;D
3;5;3;4;4;5;5;5;4;4;5;4;4;3;4;4;3;4;3;4;4;5;4;4;53;46;67;50;460;24;0;1;45-54;2;Nie;A;C
1;1;1;4;4;4;4;4;4;3;2;3;4;4;3;1;1;3;4;4;1;4;3;3;78;69;50;27;472;24;1;0;45-54;2;Nie;B;C
2;2;2;3;2;2;2;2;2;2;4;3;4;4;3;2;3;3;4;3;2;2;4;3;109;57;81;67;545;21;0;0;55-64;1;Nie;B;A
4;4;3;4;5;5;5;5;5;5;5;4;5;3;5;3;4;3;4;4;4;5;5;4;51;25;41;18;311;24;1;1;45-54;2;Nie;A;B
5;5;4;5;5;5;5;5;4;4;4;4;4;4;4;4;5;4;3;2;5;5;4;4;39;38;37;23;308;6;0;0;35-44;1;Nie;A;D
4;4;4;4;4;4;4;5;4;3;4;4;4;4;3;2;4;2;2;4;4;4;4;2;105;89;102;96;759;17;0;0;45-54;2;Nie;C;A
